u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149453369,583305266,0,26807046,motorway_link,1,True,False,387.9596608241391,"LINESTRING (-98.4037463 29.4494328, -98.403972 29.449914, -98.404163 29.450221, -98.404278 29.45037, -98.404612 29.450806, -98.405049 29.451242, -98.405709 29.451699, -98.406304 29.4520084)",,,,,,,,
149453395,149453369,0,15125279,motorway_link,2,True,False,397.02598140604346,"LINESTRING (-98.4041738 29.4459889, -98.404001 29.4463307, -98.403854 29.4465935, -98.4036875 29.4469996, -98.4035856 29.4473221, -98.4035111 29.4478101, -98.4034955 29.4481957, -98.4035209 29.4485643, -98.4036032 29.4489892, -98.4037463 29.4494328)",Loop 13,,,,,,,
149453395,149606358,0,15162848,secondary,2,True,False,191.96255621006023,"LINESTRING (-98.4041738 29.4459889, -98.4039785 29.4461714, -98.4036598 29.446466, -98.4034589 29.4466015, -98.4032067 29.4467172, -98.4029786 29.4467896, -98.4027535 29.4468382, -98.4025375 29.4468593)",,Northeast Loop 410,,,,,,
149453406,149524138,0,"[372425251, 91193543, 91193513, 91193548, 91193528, 15131897]",motorway_link,"['1', '2']",True,False,788.6887459879714,"LINESTRING (-98.4110607 29.4542234, -98.4114072 29.4544748, -98.411892 29.454801, -98.4124707 29.455196, -98.4126924 29.4553389, -98.412957 29.4554946, -98.4132837 29.4556079, -98.4135306 29.4556478, -98.4137715 29.4556594, -98.4140894 29.4556208, -98.414381 29.45554, -98.4146348 29.4554238, -98.4148832 29.4552526, -98.4151094 29.4550132, -98.4155321 29.4544824, -98.4156998 29.4542752, -98.4161661 29.4537077, -98.4163326 29.4535301, -98.4164356 29.453426, -98.4165706 29.4533078, -98.4166935 29.4531996, -98.4168542 29.4530745, -98.416979 29.4529831, -98.4170753 29.4529121, -98.4171813 29.4527701)",,,yes,,,,,
149453416,149453406,0,15131897,motorway_link,2,True,False,366.17206674853213,"LINESTRING (-98.4077667 29.4526229, -98.40832 29.452864, -98.409057 29.453175, -98.4097816 29.4534855, -98.4103983 29.4537984, -98.4110607 29.4542234)",,,,,,,,
149453416,149985983,0,26807044,motorway_link,1,True,False,230.54952059923068,"LINESTRING (-98.4077667 29.4526229, -98.408678 29.453171, -98.4097121 29.4538183)",,,,,,,,
149458708,9334853057,0,1074453542,secondary,2,True,False,22.12188000877647,"LINESTRING (-98.4799612 29.4055272, -98.4799091 29.4057209)",,Interstate 37 South,,,,,,
149458708,149539313,0,158806554,residential,,True,False,37.65603451634988,"LINESTRING (-98.4799612 29.4055272, -98.4798536 29.4055003, -98.4797776 29.4054889, -98.4797112 29.4054844, -98.4795782 29.4054881)",,Carolina Street,,,,,,
149458714,149458708,0,15125919,motorway_link,,True,False,258.1518939430939,"LINESTRING (-98.480796 29.403325, -98.4805834 29.4039375, -98.4804286 29.4043177, -98.480169 29.4048746, -98.4799778 29.4054752, -98.4799612 29.4055272)",,,,,,,,
149458714,149458725,0,"[97897541, 97897549, 97897551, 97901748, 97901749]",motorway,4,True,False,710.7740955150788,"LINESTRING (-98.480796 29.403325, -98.480748 29.403882, -98.4807106 29.4042431, -98.4806382 29.4045586, -98.4805444 29.4049287, -98.4804183 29.4054265, -98.4802821 29.4059641, -98.4801396 29.4065201, -98.4799927 29.4070934, -98.4797588 29.4080501, -98.4797067 29.408247, -98.4796659 29.4084778, -98.479635 29.408633, -98.479589 29.40906, -98.4795683 29.4096124)",I 37;US 281,William J Bordelon Freeway,yes,65 mph,,,,
149458716,9334853044,0,176732930,tertiary,,True,False,20.644208448785772,"LINESTRING (-98.479638 29.406773, -98.4798507 29.4067846)",,Florida Street,,,,,,
149458716,9334853033,0,15125921,motorway_link,,True,False,24.33961129716515,"LINESTRING (-98.479638 29.406773, -98.4796166 29.4068638, -98.4795885 29.4069876)",,,,,,,,
149458725,149498791,0,1033459818,motorway,5,True,False,149.12287306390024,"LINESTRING (-98.4795683 29.4096124, -98.4795829 29.4097663, -98.4796666 29.4103046, -98.4797426 29.4106573, -98.4798023 29.4109371)",I 37;US 281,William J Bordelon Freeway,,65 mph,,,,
149458751,149458756,0,"[540652688, 1059867609]",motorway_link,"['1', '2']",True,False,196.25307319602845,"LINESTRING (-98.4742454 29.3985582, -98.4749055 29.3980633, -98.4751664 29.397864, -98.4752192 29.3978237, -98.4754367 29.3976735, -98.4756819 29.3975136, -98.4758117 29.3974415)",,,,,,,,
149458756,149460169,0,15130692,motorway_link,1,True,False,342.09166794605824,"LINESTRING (-98.4758117 29.3974415, -98.4760715 29.3973259, -98.4762526 29.3972512, -98.4764043 29.3971953, -98.4765302 29.3971588, -98.4766535 29.3971308, -98.4767876 29.3971065, -98.476907 29.3970922, -98.477013 29.3970887, -98.4771239 29.3970905, -98.477253 29.3970993, -98.4773651 29.397115, -98.4774716 29.3971366, -98.4775655 29.3971577, -98.4776574 29.3971855, -98.4777693 29.3972254, -98.4778699 29.3972687, -98.4779638 29.3973131, -98.4780594 29.3973605, -98.478169 29.3974206, -98.4782588 29.3974743, -98.4783755 29.3975479, -98.4784586 29.3976043, -98.4785512 29.3976741, -98.4786209 29.3977314, -98.4787162 29.397819, -98.4788047 29.3979008, -98.478935 29.3979953)",,,,,,,,
149459044,149735470,0,15145430,residential,,False,True,13.997057155955014,"LINESTRING (-98.446602 29.43879, -98.4466071 29.4386642)",,Hines Avenue,,,,,,
149459044,3455152827,0,15125942,motorway_link,,True,False,395.1333222838606,"LINESTRING (-98.446602 29.43879, -98.4460615 29.4389335, -98.4458429 29.4389915, -98.4455206 29.4390847, -98.4449793 29.439237, -98.444741 29.4393034, -98.4445827 29.439341, -98.4444034 29.4393816, -98.4438374 29.4394969, -98.4432598 29.4396347, -98.4430328 29.4397045, -98.4427091 29.4398375)",,,,,,,,
149459044,3448328306,0,1034075667,secondary,3,True,False,165.0389263607371,"LINESTRING (-98.446602 29.43879, -98.446008 29.43885, -98.445419 29.438916, -98.445268 29.438939, -98.4449144 29.4389938)",,Interstate 35 North,,,,,,
149460121,4331976962,0,176832804,secondary,3,True,False,158.00955380175768,"LINESTRING (-98.409007 29.465319, -98.4096632 29.4640179)",,Interstate 35 North,,,,,,
149460126,6131684307,0,15158150,secondary,2,True,False,219.4329099561128,"LINESTRING (-98.409372 29.463029, -98.4084753 29.4648414)",,Interstate 35 North,,,,,,
149460126,8189172350,0,15158284,residential,,False,False,39.08739324667715,"LINESTRING (-98.409372 29.463029, -98.4093676 29.4626775)",,Petroleum Drive,,,,,,
149460169,149512181,0,"[1065096729, 1054633347]",motorway_link,"['3', '2']",True,False,231.8407742931957,"LINESTRING (-98.478935 29.3979953, -98.4790005 29.3980702, -98.4790781 29.3981655, -98.4791729 29.3982908, -98.4792392 29.3983798, -98.4793103 29.3984768, -98.4793814 29.3985785, -98.479443 29.3986663, -98.479701 29.399083, -98.4797252 29.3991213, -98.47978 29.399208, -98.479797 29.399241, -98.480088 29.399816)",,,,,,,,
149462624,1672908190,0,"[15132210, 97902387, 97902380]",motorway_link,,True,False,606.5669982557458,"LINESTRING (-98.4806754 29.4215623, -98.4807378 29.4213114, -98.4807431 29.4210003, -98.4806923 29.4197927, -98.4806996 29.4192173, -98.4807352 29.4188422, -98.4808864 29.4181286, -98.4808969 29.4179083, -98.4809088 29.4177587, -98.4809053 29.4174614, -98.4808734 29.4169021, -98.4808648 29.4166946, -98.4808845 29.416129)",,,yes,,,,,
