u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,width,access,service,tunnel,junction
149456934,149735202,0,244852850,tertiary,Powell Street,False,True,11.227426391134335,"LINESTRING (-98.510828 29.403267, -98.510894 29.40335)",,,,,,,,,
149456934,149735206,0,244852851,tertiary,Powell Street,False,False,21.246072965586304,"LINESTRING (-98.510828 29.403267, -98.510703 29.40311)",,,,,,,,,
149456944,149456934,0,244779372,motorway_link,,True,False,35.793487863724884,"LINESTRING (-98.5111441 29.4033237, -98.5110584 29.4033717, -98.5109878 29.4033667, -98.510889 29.40331, -98.510828 29.403267)",,,,,,,,,
149456944,149473567,0,540651949,motorway_link,,True,False,29.421523050159863,"LINESTRING (-98.5111441 29.4033237, -98.5110551 29.403466, -98.5109775 29.4035431)",,,,,,,,,
149456954,149456944,0,15125680,motorway_link,,True,False,143.26321365536631,"LINESTRING (-98.5116952 29.4021316, -98.511491 29.4026639, -98.5114611 29.4027518, -98.511386 29.4029098, -98.5112982 29.4030621, -98.5111441 29.4033237)",1,,,,,,,,
149456954,149473546,0,"[49423461, 361478566]",motorway,South Pan Am Expressway,True,False,454.3309734091419,"LINESTRING (-98.5116952 29.4021316, -98.5116612 29.4023985, -98.5116146 29.4026263, -98.511544 29.4028981, -98.5114797 29.4030941, -98.5113294 29.403449, -98.5112539 29.4036283, -98.5110963 29.4039836, -98.5108704 29.4044978, -98.5107962 29.4046729, -98.5106278 29.405058, -98.5104541 29.4054508, -98.510354 29.4056777, -98.5102079 29.4059929)",5,60 mph,I 10;I 35;US 87,yes,,,,,
149466824,149508783,0,49406454,motorway_link,,True,False,67.62003599141067,"LINESTRING (-98.4812551 29.4397187, -98.4814777 29.4397761, -98.4817585 29.4398548, -98.4819284 29.4398728)",2,,,yes,,,,,
149473546,150031240,0,49423461,motorway,South Pan Am Expressway,True,False,7.613602302629337,"LINESTRING (-98.5102079 29.4059929, -98.5101785 29.4060564)",5,60 mph,I 10;I 35;US 87,yes,,,,,
149473565,149473546,0,"[15127106, 49423463]",motorway_link,,True,False,265.4571521528835,"LINESTRING (-98.5106827 29.4036623, -98.5106271 29.4037164, -98.5106097 29.403759, -98.5106016 29.4038342, -98.5105928 29.404156, -98.510579 29.4043775, -98.5105582 29.404561, -98.5104969 29.4049032, -98.5104627 29.4050475, -98.5104355 29.4051448, -98.5103789 29.4053285, -98.5103234 29.4054766, -98.5102079 29.4059929)",,,,yes,,,,,
149473567,149473565,0,15127106,motorway_link,,True,False,31.483643066851076,"LINESTRING (-98.5109775 29.4035431, -98.5106827 29.4036623)",,,,,,,,,
149473567,149735202,0,244852852,tertiary,Powell Street,False,False,22.996246261594003,"LINESTRING (-98.5109775 29.4035431, -98.510926 29.403406, -98.510894 29.40335)",,,,,,,,,
149473567,149735194,0,244852852,tertiary,Powell Street,False,True,28.388624603016257,"LINESTRING (-98.5109775 29.4035431, -98.510977 29.40365, -98.5109429 29.4037954)",,,,,,,,,
149486229,9334853050,0,15137696,secondary,Interstate 37 South,True,False,22.41668240778688,"LINESTRING (-98.480665 29.406882, -98.4807157 29.4066853)",,,,,,,,,
149486229,9334853030,0,244782197,tertiary,Florida Street,True,False,22.121432488681112,"LINESTRING (-98.480665 29.406882, -98.4808727 29.4069647)",1,,,,,,,,
149494600,149494609,0,15129329,motorway_link,,True,False,335.8146101690455,"LINESTRING (-98.480916 29.405908, -98.481037 29.40543, -98.481091 29.404965, -98.481091 29.404946, -98.481108 29.4043, -98.4810869 29.4029021)",,,,,,,,,
149494609,149512281,0,"[97897552, 97897546]",motorway,William J Bordelon Freeway,True,False,387.33324837335795,"LINESTRING (-98.4810869 29.4029021, -98.4810884 29.4027207, -98.481073 29.4024418, -98.4810508 29.4022198, -98.4809987 29.4018269, -98.4809234 29.4014431, -98.4808383 29.4011071, -98.4806677 29.4005596, -98.4805538 29.4002492, -98.480287 29.399507)",5,65 mph,I 37;US 281,yes,,,,,
149500029,4331965772,0,154845562,primary,East César E. Chávez Boulevard,True,False,8.76217518962008,"LINESTRING (-98.4808899 29.4145566, -98.480964 29.4146018)",2,,,,,,,,
149500029,1175108984,0,1035993424,secondary,Tower of the Americas Way,True,False,18.997383791625477,"LINESTRING (-98.4808899 29.4145566, -98.4809024 29.4143861)",,,,,,,,,
149505170,9526221627,0,1034064435,secondary,Elm Street,True,False,7.675156016402443,"LINESTRING (-98.482047 29.425887, -98.4820449 29.425818)",3,,,,,,,,
149505171,1459413666,0,"[49411435, 15130204]",motorway_link,,True,False,229.9270408046738,"LINESTRING (-98.4907664 29.4379745, -98.4909278 29.4378065, -98.4910889 29.437707, -98.4913428 29.4375581, -98.4914878 29.437472, -98.4917033 29.4373407, -98.4919244 29.4371945, -98.4922521 29.4369788, -98.4925016 29.4368083, -98.4925944 29.4366789)",,,,yes,,,,,
149505171,149860537,0,"[1183607499, 49406702, 49406703]",secondary,McCullough Avenue,False,True,67.81261041600966,"LINESTRING (-98.4907664 29.4379745, -98.4906361 29.4378151, -98.4904529 29.4375683, -98.4903761 29.4374683)",,,,yes,,,,,
149505171,6476902428,0,49426795,secondary,East Elmira Street,True,False,72.31641376953324,"LINESTRING (-98.4907664 29.4379745, -98.4908744 29.437915, -98.491316 29.4376447, -98.4913815 29.4376059)",,,,,,,,,
149507180,2859910656,0,282047207,secondary,Tower of the Americas Way,True,False,18.081849764236065,"LINESTRING (-98.4813469 29.4223089, -98.4812716 29.4221601)",2,,,,,,,,
149507180,3981890020,0,1031138976,primary,East Commerce Street,True,False,17.3499489388399,"LINESTRING (-98.4813469 29.4223089, -98.4815172 29.4223573)",2,,,,,,,,
149507181,3489251916,0,540664268,motorway_link,,True,False,34.15546870730014,"LINESTRING (-98.4814807 29.4227154, -98.4814024 29.4224159)",2,,,,,,,,
149507181,11119612361,0,176733112,motorway_link,,True,False,28.93653726306544,"LINESTRING (-98.4814807 29.4227154, -98.4815 29.4225828, -98.481556 29.4225057, -98.4815932 29.4224916)",1,,,,,,,,
149507191,149507181,0,"[1040531977, 1031098002, 28402101]",motorway_link,,True,False,243.54635250957415,"LINESTRING (-98.4816749 29.4248916, -98.481694 29.424374, -98.481668 29.423881, -98.481646 29.423554, -98.481602 29.423253, -98.4815189 29.4228846, -98.4814807 29.4227154)","['2', '1', '3']",,,,,,,,
